,index,match_api_id,country,season,comment,stats,event_incident_typefk,elapsed,player2,subtype,player1,sortorder,team,id,n,type,goal_type,elapsed_plus,coordinates,del
33051,1,1505598.0,Spain,2013/2014,p,,20,37,,,19243.0,0,9906.0,2982440,26,goal,p,,,
33052,2,1505598.0,Spain,2013/2014,n,,71,40,,,196188.0,0,9865.0,2982499,28,goal,n,,,
33053,3,1505598.0,Spain,2013/2014,n,,71,64,,,30871.0,0,9906.0,2983048,32,goal,n,,,
33054,4,1505598.0,Spain,2013/2014,n,,71,67,,,33871.0,0,9906.0,2983135,33,goal,n,,,
33055,5,1505598.0,Spain,2013/2014,n,,71,90,,,189192.0,0,9865.0,2983602,35,goal,n,,,
33056,0,1778267.0,Spain,2014/2015,p,,20,13,,,75447.0,0,9906.0,4188130,67,goal,p,,,
33057,1,1778267.0,Spain,2014/2015,n,,393,20,75447.0,shot,184138.0,2,9906.0,4188245,118,goal,n,,,
33058,2,1778267.0,Spain,2014/2015,n,,393,29,75447.0,shot,184138.0,3,9906.0,4188356,150,goal,n,,,
33059,0,530560.0,Spain,2008/2009,n,,393,5,31014.0,shot,33989.0,2,8302.0,607143,222,goal,n,,,
33060,1,530560.0,Spain,2008/2009,n,,393,62,33989.0,shot,30443.0,3,8302.0,607320,256,goal,n,,,
33061,2,530560.0,Spain,2008/2009,p,,20,70,,,75310.0,2,9865.0,607331,271,goal,p,,,
33062,0,684874.0,Spain,2009/2010,n,,71,9,,,75310.0,0,8302.0,922434,14,goal,n,,,
33063,0,875729.0,Spain,2010/2011,npm,,348,21,,saved_back_into_play,33989.0,2,8302.0,1326405,21,goal,npm,,,
33064,1,875729.0,Spain,2010/2011,n,,44,48,,header,6853.0,1,9865.0,1326535,161,goal,n,,,
33065,2,875729.0,Spain,2010/2011,n,,39,81,,distance,46384.0,0,9865.0,1326600,173,goal,n,,,
33066,3,875729.0,Spain,2010/2011,n,,80,83,,shot,33989.0,2,8302.0,1326604,174,goal,n,,,
33067,4,875729.0,Spain,2010/2011,n,,80,90,,shot,46384.0,0,9865.0,1326617,181,goal,n,1.0,,
33068,0,1505890.0,Spain,2013/2014,n,,71,6,,,26392.0,0,8302.0,3049154,25,goal,n,,,
33069,1,1505890.0,Spain,2013/2014,n,,71,23,,,196188.0,0,9865.0,3049430,28,goal,n,,,
33070,2,1505890.0,Spain,2013/2014,n,,71,90,,,25773.0,1,8302.0,3050050,33,goal,n,,,
33071,0,1778403.0,Spain,2014/2015,n,,393,31,280483.0,shot,254702.0,2,9865.0,4490959,155,goal,n,,,
33072,1,1778403.0,Spain,2014/2015,n,,80,65,,shot,111237.0,4,8302.0,4492013,334,goal,n,,,
33073,2,1778403.0,Spain,2014/2015,n,,80,71,,shot,111237.0,4,8302.0,4492162,359,goal,n,,,
33074,0,530238.0,Spain,2008/2009,n,,71,1,,,38699.0,0,10205.0,481827,21,goal,n,,,
33075,1,530238.0,Spain,2008/2009,n,,71,15,,,38551.0,0,10205.0,482043,22,goal,n,,,
33076,2,530238.0,Spain,2008/2009,n,,71,61,,,46384.0,0,9865.0,482879,26,goal,n,,,
33077,0,684837.0,Spain,2009/2010,n,,406,40,37436.0,header,25986.0,3,10205.0,902826,249,goal,n,,,
33078,1,684837.0,Spain,2009/2010,p,,20,67,,,38581.0,1,9865.0,902887,272,goal,p,,,
